Sleep_Stage,MeanP_Alpha_O2,MedianF_Alpha_O2,MeanF_Alpha_O2,Spectral Edge_Alpha_O2,PeakF_Alpha_O2
NREM,0.00023,10.61463,18.48195,17.98244,10.73951
NREM,0.00023,10.36488,18.10732,17.48293,10.24
NREM,0.00025,9.74049,17.35805,16.73366,9.86537
NREM,0.00027,9.49073,17.6078,16.85854,8.11707
NREM,0.00036,9.24098,16.4839,15.98439,8.11707
NREM,0.00035,9.24098,16.60878,15.48488,11.48878
NREM,0.00038,9.24098,15.85951,15.36,8.11707
NREM,0.00044,9.1161,15.36,14.2361,7.3678
NREM,0.00043,9.24098,15.36,14.48585,6.61854
NREM,0.00044,9.1161,14.86049,13.86146,9.86537
NREM,0.00047,9.24098,14.98537,14.36098,12.11317
NREM,0.00057,8.36683,14.73561,13.73659,5.36976
NREM,0.00046,9.1161,15.23512,14.48585,6.74341
NREM,0.00082,9.49073,13.86146,13.48683,12.61268
NREM,0.00045,8.11707,14.98537,13.73659,8.61659
NREM,0.00058,8.24195,14.2361,13.36195,7.49268
NREM,0.00062,8.36683,13.86146,13.36195,7.11805
NREM,0.00057,9.36585,14.61073,14.11122,12.73756
NREM,0.00051,8.24195,14.48585,13.61171,5.74439
NREM,0.00061,8.61659,13.98634,13.36195,6.49366
NREM,0.00055,8.24195,14.2361,13.36195,6.36878
NREM,0.00048,8.49171,14.86049,13.73659,8.11707
NREM,0.00059,7.86732,14.2361,13.36195,4.99512
NREM,0.00056,7.74244,14.36098,13.61171,5.74439
NREM,0.0006,7.74244,14.11122,13.1122,5.74439
NREM,0.00059,7.9922,13.86146,13.36195,5.24488
NREM,0.00059,7.9922,13.98634,13.23707,5.61951
NREM,0.00056,7.24293,14.2361,13.23707,5.74439
NREM,0.00057,8.99122,13.86146,13.1122,12.73756
NREM,0.00057,8.11707,13.73659,12.86244,6.49366
NREM,0.00069,7.3678,13.61171,12.98732,6.61854
NREM,0.0007,7.3678,13.48683,12.73756,5.36976
NREM,0.00057,8.11707,13.98634,12.98732,12.4878
NREM,0.00055,7.61756,14.2361,13.23707,4.74537
NREM,0.0005,7.11805,13.98634,12.86244,6.49366
NREM,0.00049,7.61756,14.11122,13.1122,6.36878
NREM,0.0006,7.74244,13.48683,12.98732,12.23805
NREM,0.00049,7.61756,14.36098,13.48683,5.99415
NREM,0.00053,7.61756,14.2361,12.98732,7.61756
NREM,0.00062,7.9922,13.61171,12.86244,6.74341
NREM,0.0005,8.24195,13.86146,13.1122,5.86927
NREM,0.0006,9.24098,16.85854,15.98439,6.86829
NREM,0.00038,7.11805,13.36195,11.86341,6.61854
NREM,0.00037,8.24195,13.36195,12.86244,5.74439
NREM,0.00047,6.86829,12.73756,12.36293,5.12
NREM,0.00043,7.11805,13.1122,12.73756,5.86927
NREM,0.00037,7.74244,13.36195,12.86244,5.49463
NREM,0.00036,7.9922,13.1122,12.73756,6.2439
NREM,0.0003,7.49268,13.61171,12.86244,5.12
NREM,0.00038,7.3678,13.23707,12.61268,7.24293
NREM,0.00031,6.86829,13.73659,12.73756,5.61951
NREM,0.00041,6.86829,13.23707,12.36293,6.61854
NREM,0.00042,7.24293,12.98732,12.61268,6.36878
NREM,0.00035,7.3678,13.36195,12.73756,5.36976
NREM,0.00036,7.74244,13.1122,12.73756,12.23805
NREM,0.00032,7.9922,13.36195,12.73756,5.49463
NREM,0.00032,7.61756,13.23707,12.61268,5.49463
