Sleep_Stage,MeanP_Delta_C4,MedianF_Delta_C4,MeanF_Delta_C4,Spectral Edge_Delta_C4,PeakF_Delta_C4
NREM,0.00138,0.87415,6.74341,3.49659,0.74927
NREM,0.00134,0.87415,6.61854,3.74634,0.74927
NREM,0.00156,1.62341,6.36878,4.49561,0.74927
NREM,0.00549,1.99805,5.36976,3.24683,2.2478
NREM,0.00781,2.49756,5.61951,3.74634,2.8722
NREM,0.02104,2.2478,4.87024,3.49659,2.74732
NREM,0.00992,2.2478,5.12,3.62146,2.62244
NREM,0.00914,1.99805,4.74537,3.37171,1.87317
NREM,0.01536,2.12293,4.74537,3.37171,2.62244
NREM,0.00995,1.74829,5.12,3.24683,2.37268
NREM,0.01011,1.99805,5.49463,3.37171,0.74927
NREM,0.01267,1.24878,5.12,3.24683,0.74927
NREM,0.01395,1.37366,4.99512,2.8722,0.74927
NREM,0.0117,1.49854,5.24488,3.49659,0.74927
NREM,0.00863,2.12293,5.24488,3.49659,1.99805
NREM,0.0097,1.74829,5.36976,3.24683,0.74927
NREM,0.01023,1.62341,5.49463,3.37171,2.2478
NREM,0.01708,0.99902,4.99512,2.8722,0.74927
NREM,0.01285,1.49854,5.24488,3.24683,0.74927
NREM,0.01315,0.99902,5.24488,2.74732,0.62439
NREM,0.0129,1.37366,4.74537,3.12195,0.87415
NREM,0.01588,1.24878,4.74537,2.99707,1.1239
NREM,0.01112,1.1239,5.12,3.12195,0.99902
NREM,0.01701,1.87317,4.87024,2.99707,2.12293
NREM,0.00701,1.74829,5.86927,3.37171,0.62439
NREM,0.01587,1.24878,4.99512,2.99707,0.87415
NREM,0.00985,1.24878,5.36976,3.12195,0.99902
NREM,0.00847,1.49854,5.49463,3.12195,1.37366
NREM,0.02446,1.1239,4.49561,2.8722,0.62439
NREM,0.01245,1.24878,4.99512,3.12195,0.62439
NREM,0.01928,1.1239,4.62049,2.62244,0.99902
NREM,0.01048,1.87317,5.12,3.49659,0.87415
NREM,0.01357,1.37366,4.99512,3.49659,0.62439
NREM,0.014,1.1239,4.99512,2.8722,0.74927
NREM,0.01252,1.37366,5.12,2.99707,0.87415
NREM,0.0218,0.99902,4.24585,2.37268,0.99902
NREM,0.01561,1.1239,4.74537,3.12195,0.62439
NREM,0.02101,0.99902,4.74537,2.49756,0.49951
NREM,0.01249,1.24878,4.74537,2.8722,0.74927
NREM,0.01196,1.24878,5.12,2.8722,0.74927
NREM,0.01488,1.24878,4.62049,2.62244,0.62439
NREM,0.02041,0.87415,4.62049,2.12293,0.74927
NREM,0.00607,1.49854,5.24488,3.24683,0.99902
NREM,0.01124,1.1239,5.24488,2.99707,1.1239
NREM,0.01226,1.24878,5.36976,2.99707,0.62439
NREM,0.02136,0.99902,4.37073,2.62244,0.49951
NREM,0.00937,1.37366,5.12,2.8722,0.87415
NREM,0.01588,0.87415,4.87024,2.37268,0.62439
NREM,0.0281,0.74927,4.37073,2.12293,0.62439
NREM,0.01543,0.99902,4.74537,2.62244,0.62439
NREM,0.02717,0.99902,4.12098,2.2478,0.99902
NREM,0.02034,0.99902,4.37073,2.37268,0.99902
NREM,0.01881,1.1239,4.62049,2.74732,0.74927
NREM,0.02515,0.87415,4.24585,2.49756,0.62439
NREM,0.02189,0.99902,4.49561,2.2478,0.99902
NREM,0.0366,0.74927,4.24585,1.87317,0.62439
NREM,0.01743,0.99902,4.74537,2.62244,0.62439
NREM,0.01988,0.99902,4.62049,2.2478,0.62439
NREM,0.01775,1.1239,4.37073,2.37268,0.87415
NREM,0.02107,0.87415,4.37073,2.62244,0.49951
NREM,0.0304,0.74927,4.49561,2.12293,0.74927
NREM,0.02695,0.74927,4.49561,2.37268,0.62439
NREM,0.01877,1.1239,4.24585,2.62244,1.1239
NREM,0.02317,0.87415,4.74537,1.99805,0.62439
NREM,0.02049,0.99902,4.37073,2.49756,0.87415
NREM,0.01838,0.99902,4.62049,2.62244,0.49951
