Sleep_Stage,MeanP_Theta_C4,MedianF_Theta_C4,MeanF_Theta_C4,Spectral Edge_Theta_C4,PeakF_Theta_C4
NREM,0.00048,5.86927,12.11317,10.24,5.61951
NREM,0.00051,5.61951,12.98732,10.48976,5.49463
NREM,0.00078,5.12,10.61463,8.99122,5.61951
NREM,0.00139,4.37073,11.86341,8.11707,2.99707
NREM,0.00305,4.37073,10.36488,7.61756,2.8722
NREM,0.00565,3.74634,8.61659,6.49366,2.74732
NREM,0.00302,4.12098,9.61561,6.61854,3.62146
NREM,0.00222,3.74634,12.61268,8.11707,3.24683
NREM,0.00375,3.62146,11.11415,7.24293,2.99707
NREM,0.00231,4.24585,11.23902,8.24195,3.24683
NREM,0.00282,4.24585,12.11317,8.74146,3.37171
NREM,0.00235,4.37073,11.86341,8.24195,3.62146
NREM,0.00226,4.24585,12.23805,8.49171,3.49659
NREM,0.00305,4.37073,12.61268,10.61463,3.49659
NREM,0.00238,3.9961,9.61561,7.49268,3.12195
NREM,0.00238,4.37073,12.4878,9.86537,2.8722
NREM,0.00263,4.37073,12.4878,10.11512,3.49659
NREM,0.00263,4.49561,12.36293,9.1161,4.24585
NREM,0.00272,4.24585,11.98829,8.24195,4.24585
NREM,0.00189,4.99512,12.23805,10.73951,2.8722
NREM,0.00231,4.12098,11.73854,8.61659,2.62244
NREM,0.00258,3.9961,11.98829,8.61659,3.87122
NREM,0.0022,4.37073,11.48878,8.36683,4.74537
NREM,0.00326,3.9961,10.73951,7.74244,2.62244
NREM,0.00199,4.99512,12.11317,9.24098,5.74439
NREM,0.00291,3.9961,11.98829,8.61659,2.8722
NREM,0.00204,4.87024,12.36293,10.73951,4.12098
NREM,0.00181,4.62049,11.3639,8.61659,3.12195
NREM,0.00332,3.62146,12.36293,9.49073,3.12195
NREM,0.00229,4.37073,11.73854,9.61561,3.62146
NREM,0.00225,4.12098,11.48878,8.99122,2.99707
NREM,0.00265,4.12098,12.11317,9.1161,3.74634
NREM,0.00306,4.12098,12.11317,9.49073,3.74634
NREM,0.00223,4.37073,11.3639,8.61659,3.74634
NREM,0.0022,4.24585,10.98927,8.74146,3.49659
NREM,0.00201,3.74634,12.11317,8.99122,3.62146
NREM,0.00258,3.9961,12.11317,9.61561,3.62146
NREM,0.00209,4.12098,11.3639,9.24098,3.74634
NREM,0.00195,4.24585,12.11317,9.86537,4.12098
NREM,0.00221,4.62049,12.11317,10.61463,3.9961
NREM,0.00198,4.37073,12.11317,10.24,4.37073
NREM,0.00203,4.74537,11.48878,10.36488,3.62146
NREM,0.00125,4.37073,10.73951,8.36683,3.37171
NREM,0.00206,4.74537,12.23805,11.61366,2.62244
NREM,0.00223,4.87024,11.98829,10.61463,2.99707
NREM,0.00207,3.74634,12.11317,10.11512,2.8722
NREM,0.00169,4.62049,11.98829,9.86537,3.24683
NREM,0.00156,4.74537,11.98829,10.61463,4.87024
NREM,0.00184,4.37073,11.3639,9.49073,3.24683
NREM,0.00182,4.12098,11.86341,9.61561,3.12195
NREM,0.00196,3.87122,10.98927,8.11707,2.8722
NREM,0.00176,3.87122,11.48878,8.74146,3.37171
NREM,0.00234,3.9961,11.98829,9.1161,3.9961
NREM,0.00213,3.87122,10.73951,8.61659,2.74732
NREM,0.00187,4.24585,12.11317,9.86537,4.24585
NREM,0.00214,4.37073,11.73854,9.74049,3.74634
NREM,0.00196,4.24585,11.3639,9.36585,3.37171
NREM,0.00197,4.37073,11.86341,9.99024,4.24585
NREM,0.00168,3.9961,11.48878,9.24098,3.74634
NREM,0.00209,3.87122,10.48976,8.49171,3.12195
NREM,0.00214,4.37073,10.24,7.9922,2.8722
NREM,0.00234,3.9961,11.11415,8.49171,3.74634
NREM,0.002,3.9961,11.61366,9.1161,2.74732
NREM,0.00209,4.62049,11.73854,9.61561,3.87122
NREM,0.00202,3.87122,11.86341,9.49073,3.49659
NREM,0.002,3.9961,11.3639,8.24195,3.24683
NREM,0.00243,3.62146,9.99024,7.61756,3.62146
NREM,0.0018,4.24585,11.3639,9.1161,4.49561
NREM,0.00188,4.24585,10.48976,8.86634,4.74537
NREM,0.0016,4.37073,11.23902,9.74049,2.62244
NREM,0.0019,3.9961,11.23902,9.24098,3.87122
NREM,0.00244,3.74634,11.48878,8.99122,3.74634
NREM,0.00182,4.12098,10.98927,9.1161,3.87122
NREM,0.00187,3.9961,11.3639,9.61561,3.12195
NREM,0.00242,3.62146,10.24,7.61756,3.74634
NREM,0.00171,4.37073,10.86439,9.61561,2.12293
NREM,0.00242,3.74634,10.48976,7.61756,2.99707
NREM,0.00207,4.49561,11.73854,9.61561,5.24488
NREM,0.00218,3.87122,11.73854,9.36585,2.99707
NREM,0.00164,3.87122,10.98927,9.1161,3.74634
NREM,0.00176,3.74634,11.3639,9.36585,3.62146
NREM,0.00185,3.62146,10.36488,7.86732,3.62146
NREM,0.002,4.24585,11.73854,9.24098,3.74634
NREM,0.00215,3.9961,10.48976,7.61756,2.12293
NREM,0.0016,4.12098,11.11415,9.1161,4.37073
NREM,0.00189,4.24585,10.98927,8.99122,3.24683
NREM,0.00273,3.74634,10.24,7.9922,2.8722
NREM,0.00189,4.24585,11.73854,9.1161,3.12195
NREM,0.00199,4.37073,11.3639,8.24195,3.24683
NREM,0.00202,4.12098,10.98927,8.86634,4.74537
NREM,0.00172,3.87122,10.86439,8.49171,3.37171
NREM,0.00145,4.49561,10.48976,8.36683,2.8722
NREM,0.0026,3.87122,10.73951,7.9922,1.99805
