Sleep_Stage,MeanP_Delta_O2,MedianF_Delta_O2,MeanF_Delta_O2,Spectral Edge_Delta_O2,PeakF_Delta_O2
NREM,0.00112,0.74927,6.36878,2.8722,0.62439
NREM,0.0007,0.99902,6.86829,3.62146,0.74927
NREM,0.00077,1.49854,6.49366,4.12098,0.74927
NREM,0.0013,1.87317,6.11902,3.74634,0.37463
NREM,0.00123,1.49854,6.61854,3.74634,0.74927
NREM,0.00217,1.99805,5.74439,3.62146,2.74732
NREM,0.00223,1.37366,5.86927,3.62146,1.1239
NREM,0.00216,1.62341,6.2439,3.87122,0.62439
NREM,0.0023,1.74829,5.74439,3.87122,0.49951
NREM,0.00253,1.74829,5.86927,3.62146,0.49951
NREM,0.00233,1.49854,6.11902,3.9961,0.99902
NREM,0.0037,1.62341,5.74439,3.87122,0.62439
NREM,0.00246,1.37366,6.2439,3.74634,0.74927
NREM,0.00289,1.62341,6.36878,4.12098,0.74927
NREM,0.0026,1.87317,5.86927,3.9961,0.74927
NREM,0.00306,1.87317,5.86927,3.9961,1.37366
NREM,0.00276,1.37366,6.36878,4.24585,0.62439
NREM,0.00303,1.37366,5.99415,3.62146,0.74927
NREM,0.00295,1.74829,5.99415,3.87122,0.74927
NREM,0.00281,1.62341,6.2439,4.12098,0.62439
NREM,0.00361,1.62341,5.86927,3.87122,1.37366
NREM,0.00329,1.62341,5.74439,3.49659,0.62439
NREM,0.00358,1.37366,5.99415,4.12098,0.62439
NREM,0.00342,1.62341,5.99415,3.9961,0.87415
NREM,0.00342,1.74829,5.86927,4.12098,1.24878
NREM,0.00435,1.1239,5.74439,3.62146,0.87415
NREM,0.00351,1.37366,6.11902,3.87122,0.87415
NREM,0.00353,1.49854,5.99415,4.12098,0.87415
NREM,0.00489,1.1239,5.74439,3.24683,0.62439
NREM,0.00326,1.62341,6.11902,3.9961,0.99902
NREM,0.00463,1.37366,5.99415,4.12098,1.24878
NREM,0.00406,1.62341,6.2439,3.9961,0.49951
NREM,0.00404,1.37366,5.74439,3.74634,0.87415
NREM,0.00599,0.99902,5.61951,3.37171,0.74927
NREM,0.00582,1.24878,5.36976,3.49659,0.62439
NREM,0.00688,0.74927,5.36976,3.24683,0.74927
NREM,0.00757,0.74927,5.49463,3.37171,0.74927
NREM,0.00541,0.99902,5.49463,3.49659,0.99902
NREM,0.00517,1.1239,5.86927,3.24683,0.74927
NREM,0.00666,1.1239,5.49463,3.24683,0.87415
NREM,0.00582,0.99902,5.61951,3.12195,0.62439
NREM,0.0124,0.62439,4.99512,1.99805,0.49951
NREM,0.00396,0.87415,5.99415,3.37171,0.12488
NREM,0.00359,1.24878,5.61951,3.24683,1.1239
NREM,0.00485,1.1239,5.74439,3.24683,0.62439
NREM,0.00915,0.74927,5.36976,2.62244,0.49951
NREM,0.00443,1.24878,5.36976,3.24683,0.74927
NREM,0.0054,0.87415,5.36976,2.8722,0.49951
NREM,0.00923,0.74927,4.99512,2.12293,0.74927
NREM,0.00641,1.1239,5.24488,2.8722,0.62439
NREM,0.00743,0.87415,5.12,2.49756,0.62439
NREM,0.00549,0.99902,5.49463,3.37171,0.62439
NREM,0.00597,0.87415,5.36976,3.37171,0.74927
NREM,0.00576,0.87415,5.24488,3.12195,0.49951
NREM,0.00614,0.99902,5.24488,2.8722,0.99902
NREM,0.0073,0.74927,5.12,2.49756,0.62439
NREM,0.00669,0.87415,5.12,2.62244,0.49951
NREM,0.00604,0.87415,5.36976,3.12195,0.62439
NREM,0.00611,0.99902,5.24488,2.99707,0.87415
NREM,0.00862,0.74927,4.99512,2.37268,0.49951
NREM,0.00957,0.74927,4.74537,2.37268,0.49951
NREM,0.00841,0.74927,5.12,2.62244,0.49951
NREM,0.00561,0.99902,5.24488,2.74732,0.74927
NREM,0.00916,0.74927,4.74537,2.37268,0.62439
NREM,0.00571,0.87415,5.36976,2.74732,0.87415
NREM,0.00677,0.87415,5.61951,3.12195,0.49951
NREM,0.00864,0.87415,4.62049,1.99805,0.62439
NREM,0.00521,1.1239,5.61951,3.37171,0.74927
NREM,0.00568,0.87415,5.49463,3.12195,0.74927
NREM,0.00569,0.99902,5.12,2.8722,0.87415
NREM,0.00609,0.87415,5.36976,3.12195,0.62439
NREM,0.00694,0.99902,5.12,2.62244,0.62439
NREM,0.00692,0.87415,5.36976,2.8722,0.74927
NREM,0.00651,0.74927,5.24488,2.99707,0.62439
NREM,0.00989,0.74927,4.99512,2.37268,0.74927
NREM,0.00623,0.87415,5.36976,2.74732,0.74927
NREM,0.00677,0.87415,4.87024,2.74732,0.62439
NREM,0.00669,0.87415,5.36976,2.62244,0.49951
NREM,0.00687,0.74927,5.24488,2.62244,0.74927
NREM,0.00817,0.87415,5.36976,2.62244,0.62439
NREM,0.00803,0.87415,4.87024,2.62244,0.49951
NREM,0.0087,0.87415,4.87024,2.37268,0.87415
NREM,0.00738,0.74927,5.36976,2.8722,0.74927
NREM,0.00712,0.87415,5.12,2.8722,0.87415
NREM,0.00755,0.62439,5.12,2.37268,0.49951
NREM,0.00546,0.87415,5.61951,3.12195,0.74927
NREM,0.0071,0.99902,5.24488,2.62244,0.87415
NREM,0.0055,0.87415,5.36976,2.8722,0.74927
NREM,0.00683,0.74927,5.24488,2.74732,0.74927
NREM,0.00864,0.87415,4.49561,2.37268,0.62439
NREM,0.0068,0.87415,5.24488,2.8722,0.62439
NREM,0.00659,0.87415,5.24488,2.8722,0.49951
NREM,0.00837,0.87415,4.74537,2.2478,0.49951
NREM,0.00693,0.87415,5.12,2.62244,0.62439
NREM,0.00668,0.74927,5.12,2.49756,0.62439
NREM,0.00554,0.74927,4.62049,2.49756,0.74927
NREM,0.26133,0.49951,2.99707,1.1239,0.49951
NREM,0.00284,0.99902,6.36878,3.12195,0.49951
NREM,0.00449,0.74927,6.11902,2.99707,0.62439
NREM,0.00222,1.1239,7.11805,3.37171,0.62439
NREM,0.00298,0.99902,6.36878,3.49659,0.49951
NREM,0.00225,1.24878,6.74341,3.74634,0.87415
NREM,0.00237,1.1239,6.36878,3.74634,0.62439
NREM,0.00171,1.37366,6.61854,3.62146,0.74927
NREM,0.00191,1.49854,6.74341,3.62146,0.74927
NREM,0.00319,0.87415,6.36878,3.12195,0.62439
NREM,0.0025,0.99902,6.61854,3.37171,0.87415
NREM,0.00278,1.1239,6.11902,2.99707,0.87415
NREM,0.00082,0.87415,7.49268,3.49659,0.87415
NREM,0.00084,0.87415,6.86829,2.8722,0.62439
NREM,0.00062,0.74927,7.3678,2.8722,0.74927
NREM,0.0008,1.1239,7.11805,3.49659,0.74927
NREM,0.00095,0.87415,7.3678,3.62146,0.62439
NREM,0.00065,0.87415,7.24293,3.24683,0.74927
NREM,0.01733,0.49951,3.62146,0.87415,0.62439
NREM,0.00105,1.24878,6.11902,3.49659,0.74927
NREM,0.00134,1.74829,6.36878,3.74634,1.62341
NREM,0.00134,1.87317,6.61854,3.87122,0.74927
NREM,0.00173,1.49854,6.11902,3.9961,1.1239
NREM,0.00144,1.62341,6.36878,3.87122,0.74927
NREM,0.03507,0.37463,3.62146,0.87415,0.49951
NREM,0.0029,0.74927,5.99415,3.37171,0.12488
NREM,0.00215,1.37366,5.99415,3.37171,1.1239
NREM,0.00203,1.62341,6.11902,3.62146,1.1239
NREM,0.00181,1.87317,6.11902,3.74634,2.2478
NREM,0.0022,1.49854,5.99415,3.74634,0.74927
NREM,0.00226,1.37366,5.99415,3.62146,0.99902
NREM,0.00253,1.49854,5.86927,3.37171,0.74927
NREM,0.00195,1.24878,6.36878,3.49659,0.62439
NREM,0.00294,1.37366,5.74439,3.24683,1.1239
NREM,0.00227,1.24878,6.2439,3.74634,0.74927
NREM,0.00247,1.49854,5.99415,3.74634,0.87415
NREM,0.00233,1.49854,5.74439,3.62146,0.74927
NREM,0.0055,0.99902,5.36976,2.74732,1.1239
NREM,0.00221,1.1239,6.2439,3.24683,0.49951
NREM,0.00217,1.1239,6.2439,3.49659,0.74927
NREM,0.00236,1.49854,5.99415,3.12195,1.74829
NREM,0.00282,1.37366,5.86927,3.37171,0.87415
NREM,0.00215,1.49854,6.2439,3.49659,0.74927
NREM,0.00462,1.1239,5.24488,2.8722,0.62439
NREM,0.00383,0.87415,5.61951,2.8722,0.62439
NREM,0.00273,1.24878,5.74439,3.62146,0.74927
NREM,0.00272,1.62341,5.86927,3.49659,1.87317
NREM,0.00336,1.1239,6.74341,2.99707,0.49951
NREM,0.0019,0.87415,6.61854,2.8722,0.49951
NREM,0.00549,0.62439,4.99512,1.49854,0.49951
NREM,0.00155,1.1239,6.2439,3.24683,0.49951
NREM,0.00158,1.1239,6.61854,3.74634,0.49951
NREM,0.00447,0.87415,5.12,1.87317,0.74927
NREM,0.00179,0.87415,6.49366,2.74732,0.74927
NREM,0.00228,0.87415,6.49366,3.37171,0.49951
NREM,0.0017,1.37366,6.61854,3.24683,0.74927
NREM,0.00178,1.1239,6.74341,3.24683,0.74927
NREM,0.00162,1.1239,6.61854,3.49659,0.74927
NREM,0.10551,0.99902,2.62244,1.87317,0.87415
NREM,0.0731,0.62439,2.62244,0.99902,0.62439
NREM,0.00174,1.1239,6.49366,3.24683,0.74927
NREM,0.00211,1.24878,6.2439,3.37171,1.37366
NREM,0.10884,0.87415,2.74732,1.62341,0.87415
NREM,0.00769,0.74927,4.62049,1.74829,0.62439
NREM,0.11845,0.49951,2.37268,0.99902,0.49951
NREM,0.00768,0.87415,4.37073,1.49854,0.37463
NREM,0.00151,1.1239,6.61854,3.49659,0.74927
NREM,0.00076,0.87415,7.49268,3.12195,0.62439
NREM,0.0008,0.87415,6.49366,2.99707,0.37463
NREM,0.00109,0.87415,6.11902,2.74732,0.74927
NREM,0.00081,1.37366,6.49366,3.62146,0.62439
NREM,0.00117,1.24878,6.61854,3.49659,0.87415
NREM,0.00126,1.49854,6.36878,3.74634,0.74927
NREM,0.00103,1.49854,6.2439,3.74634,0.74927
NREM,0.0017,0.99902,6.61854,3.62146,0.62439
NREM,0.00239,0.99902,6.2439,3.12195,0.74927
NREM,0.00105,1.37366,6.36878,3.9961,0.62439
NREM,0.0017,1.24878,6.2439,3.12195,0.62439
NREM,0.00189,1.37366,6.11902,3.62146,1.1239
NREM,0.00165,1.24878,5.86927,3.62146,0.74927
NREM,0.0016,1.1239,6.36878,3.37171,0.87415
NREM,0.00149,1.49854,6.36878,3.74634,0.74927
