Sleep_Stage,MeanP_Delta_F4,MedianF_Delta_F4,MeanF_Delta_F4,Spectral Edge_Delta_F4,PeakF_Delta_F4
NREM,0.00159,0.74927,6.61854,2.99707,0.74927
NREM,0.00128,0.74927,6.61854,3.37171,0.62439
NREM,0.00134,0.99902,6.61854,3.87122,0.37463
NREM,0.0029,1.62341,5.86927,3.24683,0.99902
NREM,0.00574,1.74829,5.24488,3.24683,2.8722
NREM,0.00821,1.87317,4.74537,3.12195,2.74732
NREM,0.0049,1.87317,5.49463,3.24683,1.24878
NREM,0.00324,1.87317,5.36976,3.24683,1.87317
NREM,0.00855,1.62341,4.87024,2.8722,1.1239
NREM,0.00598,1.62341,5.12,2.99707,1.24878
NREM,0.00534,1.74829,5.86927,3.24683,1.24878
NREM,0.00578,1.37366,5.49463,3.37171,1.24878
NREM,0.01243,1.24878,4.62049,2.49756,1.24878
NREM,0.01114,1.24878,5.12,2.99707,0.99902
NREM,0.00493,1.99805,5.61951,3.24683,1.99805
NREM,0.00724,1.37366,5.49463,2.8722,1.49854
NREM,0.00735,1.37366,5.61951,3.12195,0.99902
NREM,0.01253,1.1239,5.12,2.62244,0.74927
NREM,0.00729,1.49854,5.36976,3.24683,0.74927
NREM,0.00867,1.1239,5.36976,2.8722,1.37366
NREM,0.00831,1.37366,5.24488,2.99707,0.87415
NREM,0.01216,1.37366,4.74537,2.74732,1.1239
NREM,0.00519,1.62341,5.61951,3.24683,0.99902
NREM,0.00901,1.74829,5.49463,2.99707,2.37268
NREM,0.00393,1.62341,6.11902,3.24683,0.74927
NREM,0.01124,0.99902,5.24488,2.74732,0.74927
NREM,0.00634,1.49854,5.61951,2.99707,0.99902
NREM,0.00536,1.37366,5.74439,3.24683,0.99902
NREM,0.01864,1.1239,4.74537,2.74732,1.1239
NREM,0.00789,1.37366,5.36976,3.12195,0.99902
NREM,0.01296,1.24878,4.74537,2.49756,0.99902
NREM,0.00915,1.37366,5.24488,2.8722,0.87415
NREM,0.01012,1.24878,4.87024,3.12195,0.62439
NREM,0.01488,0.87415,4.74537,2.37268,0.74927
NREM,0.01201,1.1239,4.99512,2.62244,0.87415
NREM,0.01026,0.99902,5.12,2.74732,0.49951
NREM,0.00949,1.1239,5.36976,2.99707,1.24878
NREM,0.01527,0.99902,4.99512,2.2478,0.62439
NREM,0.00964,1.24878,5.12,2.74732,0.62439
NREM,0.00861,1.24878,5.36976,2.8722,0.87415
NREM,0.01006,1.1239,5.12,2.49756,0.99902
NREM,0.01794,1.1239,4.74537,2.37268,0.74927
NREM,0.00589,1.24878,4.99512,2.99707,0.74927
NREM,0.00821,1.1239,5.49463,2.74732,1.1239
NREM,0.00884,1.24878,5.36976,2.74732,0.74927
NREM,0.01765,0.99902,4.37073,2.2478,1.1239
NREM,0.00912,1.24878,4.87024,2.74732,0.87415
NREM,0.01366,0.99902,4.74537,2.2478,0.74927
NREM,0.01787,0.87415,4.74537,2.12293,0.62439
NREM,0.01578,0.99902,4.62049,2.37268,0.99902
NREM,0.01693,0.99902,4.74537,2.12293,1.24878
NREM,0.01262,1.1239,4.37073,2.49756,1.37366
NREM,0.01402,1.1239,4.62049,2.62244,0.74927
NREM,0.01311,1.1239,4.62049,2.49756,0.62439
NREM,0.01653,1.1239,4.62049,2.2478,1.1239
NREM,0.02279,0.99902,4.37073,1.99805,0.87415
NREM,0.01371,1.1239,4.87024,2.49756,1.1239
NREM,0.01595,0.99902,4.62049,1.99805,0.62439
NREM,0.0144,1.24878,4.37073,2.49756,1.24878
NREM,0.01305,0.99902,4.62049,2.62244,0.99902
NREM,0.02801,0.87415,4.37073,2.12293,0.74927
NREM,0.01533,0.87415,4.87024,2.12293,0.49951
NREM,0.01904,1.1239,4.37073,2.12293,1.24878
NREM,0.01199,0.99902,5.12,2.49756,0.62439
NREM,0.0121,1.1239,4.74537,2.62244,0.74927
NREM,0.0154,0.87415,4.49561,2.2478,0.74927
NREM,0.02185,0.87415,4.37073,2.12293,0.74927
NREM,0.01333,0.99902,4.62049,2.37268,0.87415
NREM,0.01822,0.99902,4.37073,2.2478,0.87415
NREM,0.01759,0.99902,4.12098,2.12293,0.87415
NREM,0.01484,0.99902,4.37073,2.37268,0.99902
NREM,0.02181,0.99902,4.24585,1.99805,1.24878
NREM,0.01656,0.87415,4.62049,2.12293,0.49951
NREM,0.02043,0.62439,4.62049,1.99805,0.49951
NREM,0.02384,0.87415,3.9961,1.99805,0.62439
NREM,0.01649,0.87415,4.87024,2.12293,0.74927
NREM,0.02471,0.87415,3.9961,2.2478,0.74927
NREM,0.01908,0.87415,4.49561,2.12293,0.87415
NREM,0.02035,1.1239,4.24585,2.12293,0.49951
NREM,0.02096,0.99902,4.37073,2.2478,0.74927
NREM,0.02196,0.99902,3.9961,2.2478,1.24878
NREM,0.02204,1.1239,3.9961,2.2478,0.87415
NREM,0.01584,0.87415,4.87024,2.49756,0.62439
NREM,0.02185,0.87415,4.74537,2.2478,0.74927
NREM,0.0138,0.99902,4.49561,2.37268,0.49951
NREM,0.01546,0.99902,4.74537,2.37268,0.74927
NREM,0.02296,0.87415,4.37073,2.2478,0.62439
NREM,0.01201,0.99902,4.99512,2.2478,0.87415
NREM,0.01542,0.74927,4.87024,2.2478,0.74927
NREM,0.02318,0.99902,4.37073,1.99805,0.62439
NREM,0.01832,0.87415,4.24585,2.2478,0.87415
NREM,0.01662,0.99902,4.37073,2.2478,0.74927
NREM,0.01832,1.1239,4.37073,2.49756,0.99902
NREM,0.02669,0.87415,3.9961,1.99805,0.74927
