Sleep_Stage,MeanP_Alpha_C4,MedianF_Alpha_C4,MeanF_Alpha_C4,Spectral Edge_Alpha_C4,PeakF_Alpha_C4
NREM,0.00038,9.86537,18.48195,17.73268,6.36878
NREM,0.00041,10.48976,19.60585,18.98146,6.49366
NREM,0.00043,8.99122,17.35805,16.60878,5.61951
NREM,0.00067,9.74049,17.10829,16.10927,7.9922
NREM,0.0012,8.24195,15.98439,15.11024,6.11902
NREM,0.00149,6.86829,14.98537,14.2361,7.11805
NREM,0.00094,6.86829,14.86049,13.98634,5.86927
NREM,0.00096,9.74049,14.36098,13.98634,13.1122
NREM,0.00133,8.86634,13.98634,13.36195,13.1122
NREM,0.00099,8.86634,14.11122,13.73659,6.61854
NREM,0.00135,9.74049,13.61171,13.23707,12.4878
NREM,0.00107,9.24098,13.98634,13.48683,6.36878
NREM,0.00108,9.86537,14.2361,13.86146,12.4878
NREM,0.00182,11.11415,13.86146,13.48683,12.86244
NREM,0.00084,7.9922,15.48488,14.2361,5.74439
NREM,0.00134,11.11415,13.48683,13.36195,12.61268
NREM,0.00154,10.48976,13.48683,13.23707,12.61268
NREM,0.0014,9.99024,13.73659,13.48683,12.73756
NREM,0.0012,9.49073,13.86146,13.36195,12.61268
NREM,0.00126,10.61463,13.61171,13.23707,12.36293
NREM,0.00102,9.36585,13.61171,13.36195,12.36293
NREM,0.00121,9.74049,13.61171,13.23707,12.73756
NREM,0.00098,9.1161,14.11122,13.61171,12.61268
NREM,0.00119,8.36683,13.73659,13.23707,11.3639
NREM,0.00111,9.49073,13.73659,13.36195,12.23805
NREM,0.00134,9.74049,13.36195,12.98732,12.73756
NREM,0.00129,10.98927,13.23707,12.98732,12.4878
NREM,0.00089,8.86634,14.11122,13.48683,6.86829
NREM,0.00167,10.61463,13.36195,13.1122,12.73756
NREM,0.00117,10.36488,13.36195,13.1122,11.23902
NREM,0.00105,9.86537,14.11122,13.48683,13.1122
NREM,0.00129,10.36488,13.61171,13.23707,12.98732
NREM,0.00149,10.48976,13.1122,12.86244,12.36293
NREM,0.00101,9.36585,13.73659,13.23707,10.61463
NREM,0.00098,9.24098,13.48683,12.98732,10.98927
NREM,0.00094,10.36488,13.61171,13.23707,12.36293
NREM,0.00131,10.73951,12.98732,12.61268,12.23805
NREM,0.00098,9.86537,13.73659,13.36195,10.98927
NREM,0.00109,10.24,13.23707,12.86244,12.36293
NREM,0.00137,10.73951,12.98732,12.73756,12.23805
NREM,0.00115,10.48976,12.98732,12.86244,11.98829
NREM,0.00131,10.11512,14.61073,13.36195,10.61463
NREM,0.00056,8.49171,14.61073,13.61171,8.61659
NREM,0.00142,11.48878,12.98732,12.86244,12.23805
NREM,0.0013,10.86439,12.61268,12.4878,12.11317
NREM,0.00108,10.61463,12.98732,12.86244,12.36293
NREM,0.00096,10.24,13.1122,12.98732,12.86244
NREM,0.00099,10.48976,12.98732,12.73756,9.61561
NREM,0.00093,9.74049,12.86244,12.4878,10.86439
NREM,0.00091,10.11512,12.98732,12.73756,12.11317
NREM,0.00076,9.49073,13.23707,12.61268,9.99024
NREM,0.00075,9.74049,13.36195,13.1122,12.36293
NREM,0.0011,9.86537,12.86244,12.61268,12.61268
NREM,0.00085,9.49073,13.1122,12.73756,9.74049
NREM,0.00098,10.36488,12.86244,12.73756,12.11317
NREM,0.00107,10.24,12.86244,12.73756,12.4878
NREM,0.00092,9.61561,12.73756,12.4878,10.24
NREM,0.00102,10.24,12.86244,12.61268,12.36293
NREM,0.00079,9.61561,12.98732,12.73756,9.61561
NREM,0.0008,9.1161,12.86244,12.36293,9.61561
NREM,0.00082,8.49171,13.1122,12.73756,9.86537
NREM,0.00096,9.24098,13.23707,12.86244,12.4878
NREM,0.0009,9.86537,13.1122,12.86244,12.11317
NREM,0.00105,9.86537,13.1122,12.86244,12.23805
NREM,0.00094,9.99024,12.86244,12.73756,12.4878
NREM,0.00082,9.36585,13.23707,12.86244,12.4878
NREM,0.00082,8.49171,13.1122,12.23805,9.36585
NREM,0.00082,9.61561,13.1122,12.61268,12.11317
NREM,0.0008,9.36585,13.1122,12.4878,9.86537
NREM,0.00081,9.86537,13.1122,12.73756,10.61463
NREM,0.00085,9.74049,12.86244,12.61268,9.99024
NREM,0.00101,9.74049,12.98732,12.61268,12.11317
NREM,0.00081,9.49073,12.73756,12.4878,10.86439
NREM,0.00089,9.99024,12.86244,12.61268,11.11415
NREM,0.00083,8.61659,13.1122,12.61268,9.36585
NREM,0.00084,9.74049,12.73756,12.36293,10.11512
NREM,0.00085,8.99122,12.86244,12.4878,9.24098
NREM,0.00102,9.86537,12.86244,12.73756,11.98829
NREM,0.00097,9.86537,12.98732,12.73756,12.61268
NREM,0.00072,9.49073,12.86244,12.4878,10.11512
NREM,0.00079,9.49073,12.98732,12.61268,9.49073
NREM,0.00066,8.74146,13.48683,12.4878,9.74049
NREM,0.00096,9.74049,13.48683,13.23707,12.11317
NREM,0.00076,8.61659,13.23707,12.61268,5.86927
NREM,0.0007,9.49073,13.23707,12.86244,9.49073
NREM,0.00085,9.49073,12.86244,12.61268,12.61268
NREM,0.00098,8.99122,13.23707,12.73756,10.11512
NREM,0.00089,9.36585,12.86244,12.73756,11.98829
NREM,0.00085,9.49073,12.98732,12.61268,11.73854
