Sleep_Stage,MeanP_Theta_F4,MedianF_Theta_F4,MeanF_Theta_F4,Spectral Edge_Theta_F4,PeakF_Theta_F4
NREM,0.00041,6.11902,12.61268,10.61463,5.86927
NREM,0.0004,5.86927,13.23707,11.23902,4.37073
NREM,0.00052,5.36976,11.3639,9.61561,4.74537
NREM,0.00077,4.99512,11.98829,10.24,3.74634
NREM,0.00143,4.24585,11.61366,8.74146,2.8722
NREM,0.00177,3.87122,10.86439,8.11707,2.74732
NREM,0.00125,4.37073,10.86439,8.36683,3.62146
NREM,0.00089,4.87024,12.4878,9.99024,3.24683
NREM,0.00148,4.12098,11.98829,9.36585,2.62244
NREM,0.00112,4.49561,11.61366,8.86634,5.61951
NREM,0.00154,5.36976,12.11317,10.73951,2.74732
NREM,0.00135,4.99512,11.98829,10.48976,3.62146
NREM,0.00147,4.24585,11.61366,9.36585,4.24585
NREM,0.00211,4.49561,12.11317,10.73951,3.49659
NREM,0.00119,4.49561,10.24,8.11707,5.74439
NREM,0.00133,5.12,11.98829,10.36488,5.74439
NREM,0.00156,5.24488,11.73854,10.36488,3.49659
NREM,0.00172,4.87024,11.86341,10.61463,4.24585
NREM,0.0016,4.62049,11.86341,9.24098,3.24683
NREM,0.00143,4.99512,11.61366,10.36488,4.24585
NREM,0.00155,4.49561,11.11415,8.99122,2.99707
NREM,0.00173,4.12098,11.3639,8.86634,3.74634
NREM,0.00138,4.87024,11.73854,9.49073,5.86927
NREM,0.00194,4.74537,11.11415,8.86634,5.86927
NREM,0.00115,5.49463,11.61366,10.11512,5.74439
NREM,0.00164,4.74537,10.98927,9.24098,2.62244
NREM,0.00138,5.24488,11.98829,10.73951,3.24683
NREM,0.00127,5.12,11.3639,9.86537,3.62146
NREM,0.00245,4.12098,11.23902,9.61561,2.37268
NREM,0.00177,4.74537,11.3639,10.24,3.62146
NREM,0.00161,4.37073,11.48878,9.61561,2.37268
NREM,0.00163,4.62049,11.48878,9.74049,3.62146
NREM,0.00175,4.12098,11.48878,10.36488,3.74634
NREM,0.00151,4.62049,11.3639,9.36585,3.87122
NREM,0.00158,4.62049,11.23902,9.99024,4.37073
NREM,0.00141,4.49561,11.48878,10.11512,3.74634
NREM,0.00166,4.74537,11.61366,10.86439,3.9961
NREM,0.00165,4.87024,11.11415,10.24,4.99512
NREM,0.00146,4.87024,11.61366,9.86537,4.99512
NREM,0.00146,4.99512,11.61366,10.11512,3.9961
NREM,0.00138,4.99512,11.86341,10.48976,3.37171
NREM,0.00196,4.99512,11.23902,10.48976,2.49756
NREM,0.00094,4.37073,10.98927,8.49171,3.24683
NREM,0.0014,5.12,11.86341,10.98927,3.74634
NREM,0.00148,4.99512,11.73854,10.73951,3.9961
NREM,0.00155,4.49561,11.48878,10.36488,3.62146
NREM,0.00133,4.62049,11.48878,10.48976,3.24683
NREM,0.00127,4.87024,11.3639,10.48976,4.87024
NREM,0.00147,4.87024,10.98927,10.36488,5.12
NREM,0.0016,4.49561,11.23902,9.86537,3.9961
NREM,0.00145,4.49561,10.73951,9.24098,5.12
NREM,0.00125,3.9961,11.11415,9.74049,2.8722
NREM,0.0017,4.12098,10.73951,9.1161,3.74634
NREM,0.0014,4.37073,11.11415,9.74049,5.74439
NREM,0.00154,4.37073,11.3639,10.11512,4.12098
NREM,0.00157,4.49561,11.11415,9.99024,2.8722
NREM,0.00154,4.74537,10.98927,9.61561,2.99707
NREM,0.00132,4.74537,10.98927,9.99024,4.99512
NREM,0.00143,3.9961,10.86439,9.1161,2.74732
NREM,0.00142,4.24585,10.61463,9.24098,3.62146
NREM,0.002,4.12098,10.11512,7.9922,2.99707
NREM,0.00135,4.74537,10.86439,8.99122,4.62049
NREM,0.00155,4.24585,10.86439,9.24098,2.74732
NREM,0.00151,4.87024,10.73951,9.99024,4.87024
NREM,0.00153,4.49561,11.23902,9.74049,4.74537
NREM,0.00127,4.37073,10.86439,8.86634,3.24683
NREM,0.0016,4.24585,10.48976,8.99122,3.62146
NREM,0.00134,4.37073,11.23902,9.99024,3.87122
NREM,0.00149,4.24585,10.36488,8.99122,3.62146
NREM,0.00125,4.37073,10.73951,9.61561,2.49756
NREM,0.00149,3.9961,10.86439,8.86634,3.87122
NREM,0.0014,4.24585,10.86439,9.49073,3.12195
NREM,0.00142,4.37073,10.98927,9.61561,3.87122
NREM,0.00146,4.74537,11.11415,9.99024,3.24683
NREM,0.00152,3.74634,10.48976,8.61659,3.62146
NREM,0.00146,4.99512,10.73951,9.99024,5.24488
NREM,0.0016,3.74634,10.86439,8.74146,2.99707
NREM,0.00138,4.49561,11.23902,9.74049,2.49756
NREM,0.0016,4.12098,10.61463,9.74049,2.99707
NREM,0.00155,4.12098,10.86439,8.99122,2.37268
NREM,0.00152,3.74634,10.48976,8.86634,3.62146
NREM,0.00162,3.74634,10.61463,8.24195,2.37268
NREM,0.00175,4.49561,10.73951,9.24098,3.62146
NREM,0.00184,4.37073,10.36488,8.24195,5.86927
NREM,0.00128,4.24585,10.86439,9.36585,2.99707
NREM,0.00157,4.49561,10.61463,9.1161,3.37171
NREM,0.00174,4.12098,10.36488,8.99122,3.24683
NREM,0.00134,4.87024,10.61463,9.49073,4.62049
NREM,0.00144,4.74537,10.98927,9.36585,4.87024
NREM,0.00154,4.12098,10.86439,8.61659,5.36976
NREM,0.00137,4.12098,10.73951,9.61561,3.37171
NREM,0.00133,3.9961,10.36488,8.11707,3.37171
NREM,0.00171,3.9961,10.61463,9.1161,2.99707
NREM,0.00149,4.12098,10.73951,9.24098,2.99707
NREM,0.00166,4.12098,10.48976,8.24195,1.87317
NREM,0.00147,4.62049,10.86439,10.36488,4.62049
NREM,0.00175,3.9961,12.73756,9.36585,0.99902
NREM,0.00107,5.49463,11.3639,9.1161,5.74439
NREM,0.00147,4.62049,11.3639,9.74049,2.99707
NREM,0.00121,5.49463,11.11415,9.49073,3.49659
NREM,0.00146,3.9961,11.23902,9.36585,1.87317
NREM,0.00133,5.24488,10.98927,9.49073,3.87122
NREM,0.00129,5.36976,11.23902,10.48976,2.2478
NREM,0.00091,5.49463,11.86341,10.36488,2.74732
NREM,0.00121,4.74537,11.61366,9.86537,2.99707
NREM,0.00123,4.87024,11.48878,10.11512,3.12195
NREM,0.0014,4.99512,11.3639,10.11512,3.37171
NREM,0.00122,4.74537,11.11415,9.24098,2.8722
NREM,0.00058,6.74341,12.61268,10.73951,8.36683
NREM,0.00044,5.74439,12.23805,10.48976,5.74439
NREM,0.00029,6.36878,13.48683,11.61366,6.36878
NREM,0.00038,5.86927,12.73756,10.61463,6.11902
NREM,0.00062,5.36976,12.23805,10.48976,3.62146
NREM,0.00037,5.99415,13.36195,11.3639,5.86927
NREM,0.00065,6.36878,14.98537,12.61268,6.61854
NREM,0.0006,5.24488,12.11317,9.99024,5.74439
NREM,0.00071,5.12,11.61366,9.74049,5.12
NREM,0.00087,4.99512,11.98829,10.86439,2.99707
NREM,0.00091,4.62049,11.3639,9.61561,2.99707
NREM,0.00079,5.49463,11.23902,10.36488,3.74634
NREM,0.00154,3.62146,11.11415,8.61659,2.2478
NREM,0.00104,4.99512,11.48878,10.61463,3.74634
NREM,0.00102,5.24488,11.86341,10.61463,4.74537
NREM,0.00099,4.62049,10.98927,9.49073,2.8722
NREM,0.00113,4.74537,10.73951,8.99122,3.24683
NREM,0.00094,4.99512,11.23902,9.74049,4.99512
NREM,0.00102,5.12,11.73854,10.11512,4.87024
NREM,0.00126,5.36976,11.3639,10.48976,5.49463
NREM,0.00119,4.87024,11.48878,10.61463,3.12195
NREM,0.0012,4.74537,10.86439,8.99122,4.62049
NREM,0.00123,4.74537,10.98927,8.99122,4.24585
