Sleep_Stage,MeanP_Theta_O2,MedianF_Theta_O2,MeanF_Theta_O2,Spectral Edge_Theta_O2,PeakF_Theta_O2
NREM,0.00025,5.86927,12.98732,10.98927,5.86927
NREM,0.00027,5.99415,12.86244,10.86439,5.99415
NREM,0.00036,5.49463,11.86341,9.74049,5.61951
NREM,0.00047,4.87024,11.3639,9.1161,3.62146
NREM,0.0005,5.61951,12.11317,9.49073,3.62146
NREM,0.0007,4.74537,11.23902,8.74146,2.8722
NREM,0.00069,4.87024,11.23902,8.99122,4.49561
NREM,0.00077,4.99512,11.61366,8.99122,4.49561
NREM,0.00086,4.62049,11.23902,8.86634,3.74634
NREM,0.00079,4.99512,11.23902,9.24098,4.49561
NREM,0.00087,4.99512,11.86341,8.99122,4.12098
NREM,0.00127,4.74537,10.73951,8.11707,4.24585
NREM,0.00084,4.87024,11.3639,9.1161,3.74634
NREM,0.00133,5.36976,12.23805,9.61561,5.61951
NREM,0.00101,4.87024,9.74049,8.36683,3.9961
NREM,0.00128,4.87024,10.98927,7.9922,3.62146
NREM,0.00124,5.12,10.73951,8.49171,5.36976
NREM,0.00095,5.12,12.11317,9.36585,3.74634
NREM,0.00109,4.99512,10.36488,8.36683,5.74439
NREM,0.0012,4.87024,10.98927,8.74146,4.74537
NREM,0.00127,4.62049,10.24,8.24195,4.37073
NREM,0.00098,4.87024,11.23902,8.24195,4.87024
NREM,0.00136,4.87024,10.24,7.9922,4.99512
NREM,0.00127,5.12,9.61561,8.11707,4.49561
NREM,0.00148,4.74537,9.49073,7.86732,3.74634
NREM,0.00128,4.99512,10.48976,8.11707,5.24488
NREM,0.00119,5.12,10.98927,8.11707,5.61951
NREM,0.00137,5.12,9.24098,7.74244,5.74439
NREM,0.00111,4.87024,11.61366,8.74146,3.9961
NREM,0.00126,4.87024,10.24,8.11707,4.62049
NREM,0.00163,4.87024,9.36585,7.86732,4.87024
NREM,0.00162,5.24488,9.61561,7.74244,5.36976
NREM,0.00129,4.74537,10.61463,7.9922,3.74634
NREM,0.00133,4.74537,9.74049,7.74244,4.74537
NREM,0.00148,4.49561,8.99122,7.3678,3.87122
NREM,0.00132,4.49561,9.36585,7.61756,4.24585
NREM,0.00145,4.74537,10.36488,7.61756,3.74634
NREM,0.00125,4.62049,9.49073,7.74244,4.49561
NREM,0.00118,4.87024,9.99024,7.86732,4.87024
NREM,0.00147,4.74537,10.36488,7.9922,4.12098
NREM,0.00113,4.74537,10.86439,8.11707,5.12
NREM,0.00111,4.74537,10.98927,9.1161,3.9961
NREM,0.00094,5.12,9.49073,7.74244,5.24488
NREM,0.00085,4.87024,10.86439,8.11707,5.74439
NREM,0.00121,5.12,9.74049,7.24293,5.12
NREM,0.00118,4.62049,9.74049,7.24293,3.9961
NREM,0.00097,4.62049,9.86537,7.61756,4.99512
NREM,0.00087,4.49561,10.48976,7.74244,3.9961
NREM,0.00081,4.62049,9.86537,7.3678,5.12
NREM,0.00098,4.62049,9.61561,7.61756,4.62049
NREM,0.00089,4.74537,9.36585,7.11805,4.24585
NREM,0.00116,4.62049,8.99122,7.24293,3.9961
NREM,0.0012,4.37073,9.61561,7.24293,3.87122
NREM,0.00098,4.62049,9.61561,7.3678,3.62146
NREM,0.00091,4.49561,10.48976,7.49268,4.37073
NREM,0.00078,4.74537,10.48976,7.86732,5.49463
NREM,0.00089,4.49561,9.99024,7.3678,4.74537
NREM,0.00118,4.74537,8.86634,7.49268,4.99512
NREM,0.00101,4.49561,9.36585,7.3678,5.12
NREM,0.00079,4.49561,9.36585,7.61756,2.99707
NREM,0.00086,4.24585,9.49073,7.11805,3.74634
NREM,0.00101,4.74537,8.99122,7.11805,4.99512
NREM,0.00083,4.74537,9.86537,7.86732,3.74634
NREM,0.00085,4.37073,9.99024,7.74244,3.74634
NREM,0.00085,4.87024,9.74049,7.61756,4.87024
NREM,0.00117,4.87024,8.86634,7.3678,5.74439
NREM,0.00068,4.37073,9.24098,7.3678,3.62146
NREM,0.00119,4.62049,9.24098,7.24293,4.24585
NREM,0.00098,4.37073,8.99122,7.24293,2.99707
NREM,0.00083,4.37073,9.61561,7.24293,3.74634
NREM,0.001,4.49561,8.86634,7.24293,4.62049
NREM,0.00094,4.62049,9.74049,7.74244,5.24488
NREM,0.00103,4.87024,8.99122,7.49268,4.12098
NREM,0.00092,4.49561,9.49073,7.24293,3.12195
NREM,0.00102,4.49561,8.99122,7.24293,3.74634
NREM,0.00084,4.74537,9.1161,7.49268,4.62049
NREM,0.00089,4.37073,9.24098,7.11805,3.74634
NREM,0.00103,4.87024,9.61561,7.24293,5.36976
NREM,0.00084,4.62049,9.86537,7.24293,3.9961
NREM,0.00116,4.74537,8.86634,7.11805,4.87024
NREM,0.00083,4.24585,9.36585,7.3678,3.12195
NREM,0.00079,4.24585,9.1161,6.99317,3.12195
NREM,0.00112,4.74537,9.61561,7.74244,4.87024
NREM,0.00095,4.37073,9.1161,6.99317,3.9961
NREM,0.00076,4.74537,9.49073,7.11805,5.49463
